,name,artist,release_date,length,popularity,danceability,acousticness,energy,loudness,tempo,valence,url,image,audio
13,Bad Habit,Steve Lacy,2022-07-15,0.668221354463856,0.7719298245614035,0.5619834710743804,0.6879087076838448,0.27314814814814814,0.5711308960030309,0.7264522025820562,0.673469387755102,https://open.spotify.com/track/4k6Uh1HXdhtusDW5y8Gbvy,https://i.scdn.co/image/ab67616d0000b27368968350c2550e36d96344ee,https://p.scdn.co/mp3-preview/b46cf3781e6cbe5bd01b8a81e333899c7f9cdfc5?cid=18308f0d5b8049c89ee330d9cfa4bc58
14,Under The Influence,クリス・ブラウン,2019-10-04,0.4327705032722871,0.8596491228070176,0.6396694214876034,0.0710232216128833,0.5756172839506173,0.719265012312938,0.30246943805186977,0.20528211284513803,https://open.spotify.com/track/5IgjP7X4th6nMNDh4akUHb,https://i.scdn.co/image/ab67616d0000b2739a494f7d8909a6cc4ceb74ac,https://p.scdn.co/mp3-preview/481b7b6a92340dc4e945ee479e2e8317c720902a?cid=18308f0d5b8049c89ee330d9cfa4bc58
15,Moscow Mule,バッド・バニー,2022-05-06,0.7370559836460076,0.9122807017543859,0.7570247933884299,0.32978956290379613,0.550925925925926,0.726463345330555,0.16354110561621715,0.18367346938775508,https://open.spotify.com/track/6Xom58OOXk2SoU711L2IXO,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,https://p.scdn.co/mp3-preview/585736d2d4dba1eef13b6d63c54dd4c16a3275fb?cid=18308f0d5b8049c89ee330d9cfa4bc58
16,Glimpse of Us,Joji,2022-06-10,0.6751182141598981,0.9298245614035088,0.15537190082644636,1.0,0.0,0.36607311990907376,0.7343517929132187,0.15486194477791115,https://open.spotify.com/track/6xGruZOHLs39ZbVccQTuPZ,https://i.scdn.co/image/ab67616d0000b273f798d46201c266747be5db2e,https://p.scdn.co/mp3-preview/071c22f355ed0d03fdc176dcb25a487f5ffb661c?cid=18308f0d5b8049c89ee330d9cfa4bc58
17,PROVENZA,KAROL G,2022-04-22,0.5597273011446804,0.894736842105263,0.866115702479339,0.7361818212435379,0.3070987654320988,0.4846561848835006,0.25361112471233416,0.4693877551020409,https://open.spotify.com/track/7dSZ6zGTQx66c2GF91xCrb,https://i.scdn.co/image/ab67616d0000b273e70c454b8989f09d1e11ea92,なし
18,Heat Waves,Glass Animals,2020-08-06,0.701658719565746,0.8070175438596492,0.6859504132231405,0.4936936228971726,0.32098765432098775,0.5894108732714529,0.007687411252019882,0.47058823529411775,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx,https://i.scdn.co/image/ab67616d0000b2739e495fb707973f3390850eea,なし
19,SNAP,Rosa Linn,2022-07-15,0.407654025731737,0.5964912280701755,0.3619834710743801,0.11985765044652628,0.492283950617284,0.4664709225232051,0.7351352233592844,0.4633853541416567,https://open.spotify.com/track/6zJejIfVYLgjud3lTk4DLB,https://i.scdn.co/image/ab67616d0000b273c009b22a08eee835ce3efeb9,https://p.scdn.co/mp3-preview/a020cbe5950aed4af7a5678260290b54f9bc266a?cid=18308f0d5b8049c89ee330d9cfa4bc58
20,Late Night Talking,ハリー・スタイルズ,2022-05-20,0.39973007973563696,0.8596491228070176,0.6082644628099173,0.3342800850953955,0.6342592592592593,0.8077287365031256,0.2861806133607534,0.9147659063625451,https://open.spotify.com/track/1qEmFfgcLObUfQm0j1W2CK,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,https://p.scdn.co/mp3-preview/ab3568a72e1c016308c263854dc307251ce33a2b?cid=18308f0d5b8049c89ee330d9cfa4bc58
21,Doja,Central Cee,2022-07-21,0.0,0.8596491228070176,0.9338842975206613,0.4263357900231823,0.3950617283950617,0.5392119719643872,0.49055803097814554,1.0,https://open.spotify.com/track/3LtpKP5abr2qqjunvjlX5i,https://i.scdn.co/image/ab67616d0000b2733514073942bc18f7d47f6859,https://p.scdn.co/mp3-preview/60ab803cd53b123a5c8968dfe6f63a7c2a979fa0?cid=18308f0d5b8049c89ee330d9cfa4bc58
22,Left and Right (Feat. Jung Kook of BTS),チャーリー・プース,2022-06-24,0.2832872715725337,0.894736842105263,0.8842975206611571,0.6946444909712438,0.4243827160493827,0.7790301193407843,0.17243630547258826,0.6962785114045619,https://open.spotify.com/track/0mBP9X2gPCuapvpZ7TGDk3,https://i.scdn.co/image/ab67616d0000b2731c069c836dc6cd5b34c310fe,https://p.scdn.co/mp3-preview/7b872d741e9af03f02569b2f1f5b7e738c573d34?cid=18308f0d5b8049c89ee330d9cfa4bc58
23,Hold Me Closer,エルトン・ジョン,2021-10-22,0.5202564242511449,0.0,0.5173553719008265,0.08370894680415149,0.7021604938271606,0.8077287365031256,0.37612822144967273,0.41416566626650664,https://open.spotify.com/track/5TJEBoTCDbJXiKMdCN9pd3,https://i.scdn.co/image/ab67616d0000b27395bce0485d37868c9fe5be58,なし
24,STAY (with Justin Bieber),The Kid LAROI,2021-07-23,0.22036707171245556,0.7543859649122806,0.4049586776859505,0.04273293180580737,0.6898148148148149,0.7235271831786323,0.7344660431866034,0.4069627851140456,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://i.scdn.co/image/ab67616d0000b2738e6551a2944764bc8e33a960,https://p.scdn.co/mp3-preview/40a8daf1f3cbb5c6363e68de859ba4af3377344c?cid=18308f0d5b8049c89ee330d9cfa4bc58
25,About Damn Time,Lizzo,2022-07-15,0.46911050356999323,0.6666666666666667,0.8099173553719009,0.10908039718668784,0.6574074074074074,0.6457662436067437,0.23696322773343792,0.7010804321728692,https://open.spotify.com/track/6HMtHNpW6YPi1hrw9tgF8P,https://i.scdn.co/image/ab67616d0000b273fe3b1b9cb7183a94e1aafd43,https://p.scdn.co/mp3-preview/d009565cdc3062deaee9fb82521a801aba1ad507?cid=18308f0d5b8049c89ee330d9cfa4bc58
26,I Like You (A Happier Song) (with Doja Cat),ポスト・マローン,2022-06-03,0.47359098148763784,0.8421052631578947,0.6396694214876034,0.13557447811712403,0.5447530864197532,0.6738018564121993,0.1716691964941488,0.3997599039615847,https://open.spotify.com/track/0O6u0VJ46W86TxN9wgyqDj,https://i.scdn.co/image/ab67616d0000b27334362676667a4322838ccc97,なし
27,Neverita,バッド・バニー,2022-05-06,0.3757399238864549,0.824561403508772,0.8760330578512397,0.07899389850297216,0.279320987654321,0.5315400644061375,0.34346896472930855,0.34693877551020413,https://open.spotify.com/track/31i56LZnwE6uSu3exoHjtB,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,https://p.scdn.co/mp3-preview/545c52ad44359becf52e53977c0758cc6de4550b?cid=18308f0d5b8049c89ee330d9cfa4bc58
28,Until I Found You,Stephen Sanchez,2022-08-19,0.3933393205352757,0.49122807017543857,0.0,0.8495675065814215,0.28240740740740744,0.6654669444970638,1.0,0.06242496998799518,https://open.spotify.com/track/6VhuP99TE6gYNQRJIlAWFD,https://i.scdn.co/image/ab67616d0000b2739522042f86d0bb0d4e9e3783,なし
