,name,artist,release_date,length,popularity,danceability,acousticness,energy,loudness,tempo,valence,url,image,audio,cluster_pred
17,Slow Down,Lights Follow,2017-05-05,0.3430157073394261,0.42,0.5,0.0596020336555796,0.7407847800237812,0.6741207121146331,0.0,0.4516657564172582,https://open.spotify.com/track/6d2fMEUbVqZKfz5eNClUtN,https://i.scdn.co/image/ab67616d0000485181aef49b14a38c5748edc1e4,https://p.scdn.co/mp3-preview/97fb25870095a4eb268cb618a49ab757592f1987?cid=18308f0d5b8049c89ee330d9cfa4bc58,0
18,Graves,チャーチズ,2018-05-25,0.5930125251393803,0.35,0.4318181818181819,0.00355490750478,0.8917954815695601,0.8209581705022435,0.6567515355656826,0.2910977607864555,https://open.spotify.com/track/7kmu7lAvrEXAYsZWjrTYZ1,https://i.scdn.co/image/ab67616d00004851d0cac97a7157fb08cd3af351,https://p.scdn.co/mp3-preview/e9114f029c7776df34d1c0c1fbd8b7dcbfc94490?cid=18308f0d5b8049c89ee330d9cfa4bc58,9
19,Marry You,ブルーノ・マーズ,2010-10-05,0.4225961660853848,0.75,0.53125,0.3512672143043781,0.8275862068965516,0.73585178752352,0.6804042005151576,0.43200436919716,https://open.spotify.com/track/22PMfvdz35fFKYnJyMn077,https://i.scdn.co/image/ab67616d00004851f6b55ca93bd33211227b502b,https://p.scdn.co/mp3-preview/4e53b276076762ef71d7b6e2110c66e5789fe835?cid=18308f0d5b8049c89ee330d9cfa4bc58,7
20,Uptown Funk (feat. Bruno Mars),マーク・ロンソン,2015-01-12,0.5482103306942288,0.8300000000000001,0.8650568181818183,0.0083913003769317,0.5766944114149821,0.5652048053263858,0.4334175417739911,0.9519388312397598,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS,https://i.scdn.co/image/ab67616d00004851e419ccba0baa8bd3f3d7abf2,https://p.scdn.co/mp3-preview/afbf5c171d105f72280a844472ac03ac9fd3c5af?cid=18308f0d5b8049c89ee330d9cfa4bc58,1
21,Sucker,ジョナス・ブラザース,2019-03-01,0.2661846694330592,0.03,0.8451704545454546,0.0451034379556937,0.7253269916765754,0.7213779128672746,0.6230516478436035,0.9781540141998908,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO,https://i.scdn.co/image/ab67616d00004851c85bf1709e11b6a288925b26,なし,6
22,Happy,ヴァリアス・アーティスト,2013-06-18,0.4325023548280339,0.01,0.575284090909091,0.3025857980857832,0.7526753864447087,0.5944420321320016,0.804289677035863,0.9890770070999454,https://open.spotify.com/track/6NPVjNh8Jhru9xOmyQigds,https://i.scdn.co/image/ab67616d0000485199140a62d43aec760f6172a2,なし,6
23,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",マルーン５,2010,0.331270206970291,0.79,0.6747159090909092,0.0122963965909885,0.7574316290130798,0.7652337530756983,0.5412043458159965,0.6198798470780994,https://open.spotify.com/track/7pYfyrMNPn3wtoCyqcTVoI,https://i.scdn.co/image/ab67616d000048519585ff55fff75c5c07a619cb,なし,5
24,Sugar,マルーン５,2015-07-22,0.4394650085282961,0.6,0.7116477272727275,0.0624594211292797,0.789536266349584,0.577362860037632,0.4754226933491843,0.9038776624795194,https://open.spotify.com/track/6eV7eK07znOHcKz3bzEmpS,https://i.scdn.co/image/ab67616d0000485173d5224bd020b0550d793401,なし,6
25,Shape of You,エド・シーラン,2017-03-03,0.4337975102466841,0.86,0.8210227272727273,0.6147818368789455,0.6278240190249704,0.8575770733825445,0.2764678687008784,0.955215729109776,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,https://i.scdn.co/image/ab67616d00004851ba5db46f4b838ef6027e6f96,https://p.scdn.co/mp3-preview/09e92af512355474ccf074988ea208ce6eb90a2b?cid=18308f0d5b8049c89ee330d9cfa4bc58,8
26,Misery,マルーン５,2010,0.3780708230442198,0.65,0.6491477272727273,0.0002477460768863,0.8156956004756244,0.735200463163989,0.3342827422231029,0.7312943746586564,https://open.spotify.com/track/6KBYk8OFtod7brGuZ3Y67q,https://i.scdn.co/image/ab67616d0000485186498c6e8ee965fa665a9c3d,なし,5
27,bad guy,ビリー・アイリッシュ,2019-03-29,0.3077028334309208,0.84,0.6448863636363638,0.3470340476766742,0.3579072532699167,0.2943986105080329,0.5996879334257974,0.5521572910977609,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,https://i.scdn.co/image/ab67616d0000485150a3147b4edd7701a876c6ce,なし,1
28,If I Can't Have You,ショーン・メンデス,2019-05-03,0.2972429418802984,0.74,0.6321022727272727,0.5544592124341651,0.8145065398335316,0.7841221595020986,0.5070834158906281,0.8820316766794102,https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz,https://i.scdn.co/image/ab67616d00004851625acd26e0e455312667565f,なし,8
29,I Really Like You,カーリー・レイ・ジェプセン,2015-08-21,0.3417078231205926,0.56,0.5326704545454546,0.0056609079020627,0.8133174791914388,0.7477203647416413,0.492305660128129,0.5925723648279628,https://open.spotify.com/track/0PGLRTN0X6DrXh645WJCIY,https://i.scdn.co/image/ab67616d000048519aaa999f62cd7309e30fdad4,なし,5
30,The Lazy Song,ブルーノ・マーズ,2010-10-05,0.2918618416028105,0.77,0.7769886363636367,0.3174018812827469,0.6979785969084422,0.7171081198436822,0.9281586420976158,0.9814309120699072,https://open.spotify.com/track/386RUes7n1uM1yfzgeUuwp,https://i.scdn.co/image/ab67616d00004851f60070dce96a2c1b70cf6ff0,https://p.scdn.co/mp3-preview/7d6bedf685cae3d96d866550d0d2c412532f4f89?cid=18308f0d5b8049c89ee330d9cfa4bc58,6
31,Symphony (feat. Zara Larsson),クリーン・バンディット,2017-03-16,0.3661662126727934,0.75,0.653409090909091,0.274011923348782,0.6004756242568372,0.7564046895353886,0.4984314113995114,0.4374658656471873,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8,https://i.scdn.co/image/ab67616d000048515b1130d050c4cd2295999d85,https://p.scdn.co/mp3-preview/d023b0c5285f24f254367414d8a1f5fee3dc448d?cid=18308f0d5b8049c89ee330d9cfa4bc58,3
32,Another Day Of Sun,ヴァリアス・アーティスト,2017-02-17,0.4161713041928668,0.45,0.4786931818181818,0.0201277548522407,0.741973840665874,0.6042118975249674,0.5227940690839443,0.7946477334789733,https://open.spotify.com/track/7tBqAoOhF7rxWbIpT2yOn6,https://i.scdn.co/image/ab67616d000048514c8913cfd05b1504694845cc,なし,6
33,Story of My Life,ワン・ダイレクション,2013-11-25,0.4712870089865329,0.8300000000000001,0.5014204545454546,0.2380300070132988,0.6409036860879906,0.66804168475901,0.4836288884485833,0.2506826870562534,https://open.spotify.com/track/4nVBt6MZDDP6tRVdQTgxJg,https://i.scdn.co/image/ab67616d000048512f76b797c382bedcafdf45e1,https://p.scdn.co/mp3-preview/f88f216950bea0206e3ce190fb3e99ad251471f1?cid=18308f0d5b8049c89ee330d9cfa4bc58,9
34,See You Again (feat. Charlie Puth),ウィズ・カリファ,2015,0.4204736386548204,0.8200000000000001,0.6278409090909092,0.390424005610639,0.4244946492271106,0.5449413808076422,0.1447724720956343,0.247405789186237,https://open.spotify.com/track/2JzZzZUQj3Qff7wapcbKjc,https://i.scdn.co/image/ab67616d000048514e5df11b17b2727da2b718d8,https://p.scdn.co/mp3-preview/5e12e18dbe096e7168a73675fd4e9892029fafe5?cid=18308f0d5b8049c89ee330d9cfa4bc58,0
35,ME! (feat. Brendon Urie of Panic! At The Disco),テイラー・スウィフト,2019-08-23,0.3042437819811105,0.77,0.515625,0.0348380088835118,0.8394768133174793,0.7908525112172529,0.9879879136120472,0.7334789732386674,https://open.spotify.com/track/2Rk4JlNc2TPmZe2af99d45,https://i.scdn.co/image/ab67616d00004851e787cffec20aa2a396a61647,なし,7
36,HandClap,Fitz and The Tantrums,2016-06-10,0.3050488785927038,0.65,0.5525568181818183,0.0063593803956338,0.8466111771700358,0.8705311911998842,0.639546595337164,0.7192790824685964,https://open.spotify.com/track/7j56HrjR9cGzvekvZY3Faz,https://i.scdn.co/image/ab67616d0000485158c4833cc8b1a3d6e4890940,https://p.scdn.co/mp3-preview/7d5f93b1b43d0f30ccfdbc8422e86a34127471b3?cid=18308f0d5b8049c89ee330d9cfa4bc58,5
37,Roar,ケイティ・ペリー,2013-10-18,0.4014472645808406,0.74,0.4360795454545456,0.0050682645741841,0.7705112960761,0.7390360399478941,0.9700069348127602,0.4352812670671764,https://open.spotify.com/track/6F5c58TMEs1byxUstkzVeM,https://i.scdn.co/image/ab67616d0000485147f930accd8ac01686401fa2,なし,7
38,Break Free,アリアナ・グランデ,2014-08-25,0.3737430309818996,0.56,0.6264204545454546,0.0068461945578198,0.6872770511296076,0.7026342451874367,0.5569562776566939,0.2484980884762424,https://open.spotify.com/track/67NbegQzVSnoa9wYgknJ51,https://i.scdn.co/image/ab67616d0000485146d1ba2fae86b9c5702533e7,なし,9
39,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,ダフト・パンク,2013-04-19,0.480579033120338,0.8200000000000001,0.7769886363636367,0.0449976087900011,0.8168846611177172,0.4390649876972066,0.4421603592893468,0.8798470780993992,https://open.spotify.com/track/2Foc5Q5nqNiosCNqttzHof,https://i.scdn.co/image/ab67616d000048511d5cf960a92bb8b03fc2be7f,https://p.scdn.co/mp3-preview/a13551566573594eb4d12c396775b3fb0fca6e66?cid=18308f0d5b8049c89ee330d9cfa4bc58,6
40,Together,シーア,2020-05-20,0.3430888979404801,0.64,0.3892045454545456,0.0138838340763775,0.8953626634958385,0.6939499203936894,0.9701968165907142,0.1556526488257782,https://open.spotify.com/track/5id3Rqn7SPj1LX4FfY4nGz,https://i.scdn.co/image/ab67616d00004851e279a8ea467c75ed400f812f,https://p.scdn.co/mp3-preview/918b0dd8bb82b9266b6b6ee480b9a69acfa15de0?cid=18308f0d5b8049c89ee330d9cfa4bc58,7
41,The Nights,アヴィーチー,2014-01-01,0.2522402688322598,0.86,0.3977272727272729,0.0174820257099258,0.845422116527943,0.7045158488927485,0.5241892873654317,0.6526488257782633,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc,https://i.scdn.co/image/ab67616d000048510ae4f4d42e4a09f3a29f64ad,なし,5
42,STAY (with Justin Bieber),The Kid LAROI,2021-07-09,0.1413310506351671,0.89,0.4886363636363637,0.0404469546652194,0.760998810939358,0.6910551454624403,0.8869873191995246,0.460404150737302,https://open.spotify.com/track/5HCyWlXZPP0y6Gqq8TgA20,https://i.scdn.co/image/ab67616d0000485141e31d6ea1d493dd77933ee5,https://p.scdn.co/mp3-preview/40a8daf1f3cbb5c6363e68de859ba4af3377344c?cid=18308f0d5b8049c89ee330d9cfa4bc58,7
43,abcdefu,GAYLE,2021-08-13,0.2266012830630584,0.86,0.6363636363636365,0.3163435896258209,0.4946492271105827,0.676002315819945,0.4907453272571165,0.3915892954669579,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL,https://i.scdn.co/image/ab67616d000048512842f743ebd32235bceb43d3,https://p.scdn.co/mp3-preview/83c53804d9a84bee1cca941679370f0541dd4ca2?cid=18308f0d5b8049c89ee330d9cfa4bc58,3
44,I Really Like You,カーリー・レイ・ジェプセン,2015-06-24,0.3417078231205926,0.45,0.5326704545454546,0.0056609079020627,0.8133174791914388,0.7477203647416413,0.492305660128129,0.5925723648279628,https://open.spotify.com/track/2BaXRCVgn621xHOGoFSuW5,https://i.scdn.co/image/ab67616d00004851906478ec1684465b3dca4274,なし,5
45,Butter,BTS,2021-05-21,0.2133633308724319,0.03,0.7272727272727275,0.0033326662568255,0.3983353151010702,0.7125488493269647,0.3922131959579948,0.6974330966684872,https://open.spotify.com/track/3VqeTFIvhxu3DIe4eZVzGq,https://i.scdn.co/image/ab67616d00004851ed656680374294d5217193fa,なし,1
46,Kiss You,ワン・ダイレクション,2012-11-09,0.2722944935210407,0.0,0.544034090909091,0.0195986090237778,0.9631391200951248,0.9027355623100304,0.2270573277854831,0.926815947569634,https://open.spotify.com/track/0AkQbXGN4KG34TS7xLrM68,https://i.scdn.co/image/ab67616d00004851ddacff8ec2f8f34ed56957cf,なし,6
47,Firework,ケイティ・ペリー,2010-08-24,0.4152802881800361,0.74,0.5553977272727273,0.149133507831517,0.8418549346016646,0.7232595165725865,0.5084043326068293,0.6460950300382305,https://open.spotify.com/track/1mXuMM6zjPgjL4asbBsgnt,https://i.scdn.co/image/ab67616d00004851f619042d5f6b2149a4f5e0ca,なし,5
48,Girlfriend,アヴリル・ラヴィーン,2007-04-17,0.3793437030625493,0.76,0.4446022727272729,0.0006784707812552,0.9928656361474436,0.9118541033434652,0.8379070074631796,0.6690333151283452,https://open.spotify.com/track/45hOioMDJktr86iKDHC8gr,https://i.scdn.co/image/ab67616d00004851476cdf5837ae39eee951cc15,https://p.scdn.co/mp3-preview/a483f9955188f39637f4fd143ef47d47fbc55edf?cid=18308f0d5b8049c89ee330d9cfa4bc58,7
49,Baby,ジャスティン・ビーバー,2010-01-01,0.3718337109544055,0.8200000000000001,0.6832386363636365,0.0423518796476862,0.873959571938169,0.7089303806629035,0.0210851330823591,0.5226652102676134,https://open.spotify.com/track/6epn3r7S14KUqlReYr77hA,https://i.scdn.co/image/ab67616d00004851629dc9e2e3bc20bbd7d92e4a,なし,5
50,Beautiful Now,ゼッド,2015-05-18,0.3847311677401288,0.52,0.5411931818181819,0.0082748882946698,0.8430439952437574,0.789332754378347,0.5408658609074697,0.5499726925177499,https://open.spotify.com/track/19i1xJlBqQ76shVPdSjDHe,https://i.scdn.co/image/ab67616d0000485162bed9b00486b7b803bf75ad,なし,5
